# Harbor Stories — SFX manifest (canonical). One clip per line:
# file | event id (HSSfx.play name / EVENTS key in js/sfx.js) | description of the sound | usage context
# Clips: MOSS-SoundEffect v2.0, 48 kHz mono Opus 96 kbps VBR, loudness-normalised (I=-20 LUFS), 100 steps. All one-shots play on the single effects bus; each has a WebAudio synth fallback in js/sfx.js used while the sample loads or if it fails.
ui-start.opus | ui-start | Short bright tap on a wooden dock plank with a soft small brass bell chirp, friendly game-start confirmation | Play button on the title screen and Restart / Play again (js/main.js startGame); also unlocks the AudioContext
tool-select.opus | select | A single small hand tool picked up off a rough dock plank, light dry wood scrape and a soft leather-glove grip, short and quiet | First tap or Enter on an occupied cell (js/main.js chooseCell) — the tool is now "in hand"
tool-move.opus | move | Light wooden slide and soft knock of a small hand tool dragged one cell across a rough dock plank, dry and quiet | Rules event `move`: selected tool placed on an empty cell
tool-merge.opus | merge | Two small wooden tools clack together followed by a bright pitched-up metallic clink sparkle, a satisfying upgrade | Rules event `merge`: two identical adjacent tools become the next tier
deliver.opus | deliver | Coiled rope thump onto a wooden crate with a small brass bell ding, a package handed over at a harbor stall | Rules event `deliver`: a wanted tool leaves the board for a task
task-complete.opus | task-complete | Cheerful small harbor bell rung twice with a warm wooden creak, a commission-completed fanfare, cozy and rewarding | Rules event `task-complete`: every requirement of one task is met (plays right after `deliver`)
tide-spawn.opus | spawn | Gentle water splash with a soft wooden plop as the tide drops fresh supplies onto a dock, light and playful | Rules event `spawn`: tide brings tier-0 supplies (every cfg.spawn.every actions) or restocks an emptied board
round-advance.opus | round | Distant ship horn swell followed by a single seagull cry over calm harbor water, a new round beginning | Rules event `round`: endless ruleset rolled into the next commission wave
tasks-new.opus | tasks-new | Paper note flutter and a pin tapping into a wooden notice board, a new task list being posted | Rules event `tasks-new`: fresh task wave posted (endless only, follows `round`)
hint-gull.opus | hint | One short friendly seagull chirp followed by a tiny bright glass wind-chime ting, a helpful nudge | Hint button / H key (js/main.js showHint), whether or not a hint exists
win.opus | win | Joyful harbor bells pealing with seagull cries and a warm small brass fanfare, a cozy seaside victory | Rules event `win`: all tasks complete, "Harbor restored!" dialog
lose.opus | lose | Low foghorn moan with a sad wooden hull creak and fading water lapping, a gentle non-punishing defeat | Rules event `lose`: harbor-locked, move-limit, time-up or resigned — "Round over" dialog
invalid-move.opus | invalid | Dull muted wooden thunk with a short rubbery bounce, a rejected-action error sound, soft not harsh | Any rejected command (js/main.js apply → result.ok false), paired with the status-line explanation
resign.opus | resign | Soft descending boatswain whistle with a rope being lowered and a quiet water splash, calmly giving up | Bound to HSSfx.resign; the current UI exposes no resign control, so the clip is loaded only if that method is called
harbor-ambience.opus | ambience (AMBIENCE bed in js/sfx.js, not an EVENTS one-shot) | Calm harbor water lapping against wooden pilings, a soft mooring-rope creak and two distant gulls, continuous golden-hour dock bed, no music | 12 s loop started by HSSfx.unlock() on its own gain (0.32) under the effects bus; obeys mute/volume; silent if the clip fails to load
